,glob,cold,heat,city,area,
93420,10.57107692,0.033412137,10.53766479,,,
93534,10.80334045,0.248312552,10.5550279,,,
95932,10.8686068,0.076648439,10.79195836,,,
93465,10.96225549,0.479091019,10.48316447,,,
92704,11.12848835,-0.031171799,11.15966015,,,
94545,11.16025101,11.03679169,0.123459321,,,
91405,11.29759576,0.197227853,11.10036791,,,
92651,11.44088498,1.244368659,10.19651632,,,
92225,11.63614532,0.107634147,11.52851118,,,
93212,11.7150149,0.062319118,11.65269578,,,
91767,11.75656217,-0.027180515,11.78374268,,,
93514,11.81230218,0.260851605,11.55145057,,,
96130,12.16276309,0.27589022,11.88687287,,,
94574,12.19740801,0.525540908,11.67186711,,,
93637,12.4250738,0.184774854,12.24029895,,,
94602,12.52752983,0.399009783,12.12852004,,,
93215,12.82158864,0.163149662,12.65843898,,,
91342,12.9540922,0.338442641,12.61564956,,,
95204,13.03836747,-0.029312693,13.06768017,,,
93030,13.10258537,0.014677991,13.08790738,,,
92315,13.16633961,7.166130742,6.000208865,,,
90067,13.42810767,0.482504135,12.94560354,,,
91733,13.5653955,0.469199988,13.09619551,,,
92252,13.6381636,-0.035879116,13.67404272,,,
90241,13.85743111,-0.007061281,13.86449239,,,
91723,13.97439224,0.287803894,13.68658834,,,
93930,14.66063782,0.218871607,14.44176622,,,
92503,14.7447021,0.273496485,14.47120562,,,
93463,15.80466693,0.136246747,15.66842018,,,
92363,17.04277944,0.013229811,17.02954963,,,
93257,17.86928804,0.106020329,17.76326771,,,
96150,18.03972814,7.518344425,10.52138371,,,
90301,19.37199148,0.311806045,19.06018544,,,
95542,20.29951478,0.305646015,19.99386876,Garberville,North Coast,
96161,21.72247041,7.487978219,14.2344922,Truckee,Tahoe,
92780,21.919013,22.54081941,-0.621806404,Tustin,Orange County,
91790,22.24203005,-0.107648481,22.34967853,West Covina,Los Angeles,
96020,24.96780784,0.429680378,24.53812746,Chester,Lake Almanor,
93545,29.71645073,0.422494989,29.29395575,Lone Pine,Inyo County,
90007,30.33684901,29.88055216,0.456296852,Downtown LA,Los Angeles,Close to USC
93546,33.10188721,21.10237176,11.99951545,Mammoth Lakes,Mono county,
92314,35.39103259,33.85940436,1.531628234,Big Bear,San Bernadino,
90704,40.39897424,0.471706276,39.92726797,Avalon ,Los Angeles,
93662,52.86617771,0.239739606,52.6264381,Selma ,Fresno,
